#{"t_start": 1582659054.1616294, "env_id": "nailbot-v0"}
r,l,t
14.377527,11,736.062706
16.265969,11,737.037487
18.708286,11,738.007509
18.968177,11,738.929816
40.32444,11,739.998062
19.476504,11,740.902115
33.742012,11,741.95043
12.167388,11,742.932424
21.179461,11,743.951507
27.666458,11,744.935947
21.836937,11,745.917166
11.245544,11,746.81943
14.307717,11,747.810333
11.361588,11,748.749811
14.544006,11,749.894157
11.393869,11,750.815362
14.455381,11,751.694419
19.848696,11,752.740444
21.625904,11,753.792757
25.740055,11,754.844765
15.005519,11,755.889307
34.768277,11,757.068384
33.278752,11,758.073561
15.802706,11,759.029584
12.493651,11,760.068355
13.835086,11,761.019831
12.404453,11,762.017149
12.391897,11,762.931865
11.485686,11,763.890279
14.706449,11,764.905189
27.200845,11,765.948875
32.930014,11,767.064813
14.746738,11,768.053243
11.628091,11,768.947285
23.366188,11,769.925071
13.573206,11,770.964756
19.97026,11,771.977665
14.014471,11,773.077471
11.207523,11,774.009281
14.52538,11,774.997416
13.658902,11,775.924636
19.656079,11,776.939786
16.301402,11,777.917498
21.149442,11,778.900981
24.667652,11,779.867772
12.31905,11,780.803041
33.803342,11,781.801507
26.624199,11,782.817867
12.258667,11,783.726218
13.609103,11,784.652549
14.930627,11,785.664732
13.839484,11,786.733401
23.115112,11,787.692718
15.310311,11,788.510831
14.032513,11,789.513627
14.962243,11,790.480551
15.632205,11,791.441199
12.636808,11,792.430096
14.593274,11,793.42423
27.421881,11,794.396878
10.467561,11,795.339147
11.955069,11,796.474231
11.287475,11,797.416096
11.679847,11,798.345108
12.174426,11,799.309539
33.654568,11,800.347423
26.7513,11,801.353607
14.425496,11,802.29068
30.206054,11,803.195287
12.554373,11,804.118834
14.720189,11,805.057728
20.078438,11,806.009759
25.46253,11,807.003501
21.252086,11,807.891339
18.447513,11,808.902085
12.645287,11,809.931817
26.925162,11,810.973853
13.602197,11,811.962553
10.843542,11,812.82481
31.140094,11,813.879721
23.677488,11,814.960775
12.360727,11,815.946375
16.516203,11,816.979375
31.346447,11,818.009126
17.0901,11,819.142734
17.492012,11,820.207141
34.538573,11,821.291585
23.134678,11,822.319611
25.606755,11,823.181459
28.874355,11,824.118472
15.252991,11,825.110725
13.011368,11,826.063432
32.343085,11,827.106835
33.789044,11,828.323468
25.087529,11,829.370951
22.428922,11,830.428355
16.098893,11,831.277935
15.924039,11,832.268754
27.562075,11,833.290077
15.218873,11,834.418078
11.032813,11,835.493213
11.079887,11,836.599469
26.15543,11,837.793561
10.947447,11,838.876891
12.834426,11,839.906427
11.667247,11,841.054084
15.727153,11,842.158863
15.683298,11,843.451957
23.660602,11,844.585318
13.651177,11,845.698196
13.126557,11,846.768723
15.545171,11,847.902599
12.393518,11,848.929205
15.706578,11,849.926813
12.189466,11,850.903648
28.716094,11,852.049731
11.228714,11,852.998869
13.319563,11,853.974551
18.305073,11,854.883816
32.325123,11,855.939109
33.043332,11,856.919384
29.098718,11,857.949335
14.372578,11,858.870789
24.745964,11,859.891718
28.405142,11,860.780745
23.140685,11,861.722016
19.031082,11,862.647584
16.421027,11,863.654299
24.265421,11,864.565296
11.971858,11,865.469331
12.853468,11,866.587504
21.673374,11,867.612507
15.177231,11,868.6009
26.919204,11,869.564744
14.698658,11,870.521137
12.807034,11,871.45841
12.077128,11,872.444253
12.491517,11,873.388118
19.195127,11,874.329223
36.096531,11,875.445202
37.232178,11,876.448916
32.245975,11,877.486885
11.429174,11,878.432067
14.271432,11,879.375993
14.023948,11,880.335508
29.47523,11,881.292312
22.695278,11,882.466224
31.022444,11,883.538646
12.317303,11,884.496823
12.576308,11,885.553646
37.299486,11,886.608286
33.777493,11,887.680233
30.353096,11,888.774095
22.297447,11,889.741416
13.76609,11,890.859817
12.534813,11,891.822877
12.610726,11,892.720877
12.774247,11,893.614439
11.222161,11,894.533472
15.107072,11,895.458341
13.717448,11,896.454951
11.560652,11,897.41993
17.968155,11,898.384598
27.694522,11,899.47005
33.304248,11,900.455889
33.523193,11,901.408485
12.161505,11,902.386958
15.627112,11,903.364423
20.846544,11,904.5233
10.450569,11,905.461077
12.941206,11,906.528085
15.503732,11,907.532587
29.229517,11,908.622981
36.221948,11,909.691036
13.12584,11,910.670265
20.230702,11,911.742131
12.816056,11,912.653821
34.644417,11,913.905351
19.804991,11,914.844782
29.070444,11,915.884897
25.475352,11,916.921731
12.606382,11,917.91967
36.063253,11,919.016089
12.584766,11,920.000263
20.415308,11,921.015612
34.646239,11,922.200314
26.368897,11,923.213645
14.498905,11,924.182282
42.476032,11,925.335299
12.550403,11,926.268549
10.905194,11,927.119679
32.47332,11,928.172496
14.598183,11,929.176212
13.466036,11,930.020529
12.576509,11,930.933234
15.873861,11,932.095617
19.451225,11,933.191207
11.607095,11,934.242454
23.470996,11,935.421839
11.81486,11,936.504415
13.349694,11,937.781375
14.820289,11,938.727872
14.651547,11,939.740298
22.952418,11,940.712175
13.903133,11,941.735482
11.426966,11,942.645662
12.659077,11,943.620425
42.293793,11,944.733192
25.325264,11,945.729315
25.585324,11,946.787687
18.419309,11,947.809008
14.141902,11,948.908983
17.762741,11,949.879695
13.464326,11,950.855999
12.458685,11,951.747806
42.452315,11,952.849205
21.500877,11,953.897585
21.389205,11,954.835013
20.532109,11,955.873775
12.761337,11,956.938383
12.248874,11,957.919317
32.32929,11,958.895074
19.296658,11,959.894352
17.315428,11,961.055205
37.117365,11,962.071958
17.83464,11,963.08797
24.965048,11,964.143349
12.894838,11,965.141255
11.84934,11,966.089618
20.336327,11,967.044369
35.363437,11,968.156714
21.831919,11,969.085313
14.103934,11,970.032671
26.071312,11,971.051542
19.521943,11,972.087416
13.458018,11,973.082702
27.9572,11,974.113937
11.44014,11,974.953845
29.242349,11,976.067362
12.168194,11,976.993525
13.246729,11,977.968128
31.107778,11,978.986655
13.215315,11,979.930015
12.32241,11,980.852001
11.907058,11,981.869258
39.304475,11,982.944397
22.045956,11,983.942408
13.286048,11,985.136687
31.670271,11,986.151448
13.982394,11,987.193019
15.211722,11,988.172626
37.336219,11,989.301129
29.398272,11,990.320547
33.95945,11,991.329082
35.281942,11,992.272771
30.049156,11,993.326355
32.392579,11,994.308019
11.780663,11,995.241478
12.570069,11,996.258066
12.659127,11,997.078166
32.192897,11,998.089178
19.961301,11,999.074713
26.155556,11,1000.060515
12.713118,11,1000.998027
17.987404,11,1001.89493
17.865626,11,1002.992695
12.931592,11,1003.977434
17.478412,11,1005.097063
27.077199,11,1006.139563
24.832746,11,1007.172885
26.09202,11,1008.351517
19.24205,11,1009.305439
27.87579,11,1010.326823
27.609899,11,1011.391229
14.870973,11,1012.319011
